system,train,test,accuracy,macro_f1,uar
SVM,EMO-DB,RAVDESS,0.1851,0.0979,0.1719
SVM,RAVDESS,EMO-DB,0.2935,0.1829,0.2626
SVM-Merged,EMO-DB+RAVDESS,20%-each,0.7031,0.6942,0.6932
SVM-Prosody,EMO-DB,RAVDESS,0.1755,0.1284,0.1629
SVM-Prosody,RAVDESS,EMO-DB,0.215,0.0721,0.1362
SVM-CMVN,EMO-DB,RAVDESS,0.1546,0.0748,0.1436
SVM-CMVN,RAVDESS,EMO-DB,0.1533,0.0775,0.1358
